score,kind,file,function,start_line,evidence_line,details,excerpt
88,lost-update-counter,diagnostics.c,kain_diagnostic_collector_add,157,172,count-like state mutates without lock or atomic primitive,"int kain_diagnostic_collector_add( || KainDiagnosticCollector* collector, || const KainDiagnostic* diag"
88,lost-update-counter,entangle.c,entangle_registry_register,31,75,count-like state mutates without lock or atomic primitive,"int entangle_registry_register( || const char* authority, || const char* mirror,"
88,lost-update-counter,graphics_system.c,abi_graphics_session_count,523,529,count-like state mutates without lock or atomic primitive,int64_t abi_graphics_session_count(void) { || int64_t index; || int64_t count = 0;
88,lost-update-counter,graphics_system.c,abi_graphics_buffer_create,661,712,count-like state mutates without lock or atomic primitive,"int64_t abi_graphics_buffer_create( || int64_t session_id, || const char* kind,"
88,lost-update-counter,graphics_system.c,abi_graphics_shader_register_bytes,801,866,count-like state mutates without lock or atomic primitive,"static int64_t abi_graphics_shader_register_bytes( || int64_t session_id, || const char* key,"
88,lost-update-counter,graphics_system.c,abi_graphics_mesh_create,968,1019,count-like state mutates without lock or atomic primitive,"int64_t abi_graphics_mesh_create( || int64_t session_id, || const char* label,"
88,lost-update-counter,graphics_system.c,abi_graphics_pipeline_create,1049,1109,count-like state mutates without lock or atomic primitive,"int64_t abi_graphics_pipeline_create( || int64_t session_id, || const char* label,"
88,lost-update-counter,graphics_system.c,abi_graphics_draw_mesh,1141,1182,count-like state mutates without lock or atomic primitive,"int64_t abi_graphics_draw_mesh( || int64_t session_id, || int64_t pipeline_id,"
88,lost-update-counter,host_bridge.c,kain_host_bridge_module_add_required_service,82,98,count-like state mutates without lock or atomic primitive,"int kain_host_bridge_module_add_required_service( || KainHostBridgeModuleDescriptor* descriptor, || const char* service_key"
88,lost-update-counter,host_bridge.c,kain_host_bridge_install_module,163,215,count-like state mutates without lock or atomic primitive,"int kain_host_bridge_install_module( || KainHostBridgeRegistry* registry, || const KainServiceRegistry* runtime_services,"
88,lost-update-counter,host_bridge.c,kain_host_bridge_register_service,306,366,count-like state mutates without lock or atomic primitive,"int kain_host_bridge_register_service( || KainHostBridgeRegistry* registry, || const KainHostBridgeServiceDescriptor* descriptor,"
