risk_score,file,function,start_line,end_line,body_lines,size_terms,guard_hits,lock_hits,once_hits,atomic_hits,alloc_hits,destroy_hits,arithmetic_lines,pointer_lines,global_write_lines,init_flag_lines,count_like_writes,token_density,reasons,signature,excerpt
30,stdlib_abi.c,abi_fs_open_write_retry_parent_dirs,1689,1720,32,path,,,,,,,8,0,0,0,0,6,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"static int abi_fs_open_write_retry_parent_dirs(const char* path, const char* mode, FILE** out_file) {","static int abi_fs_open_write_retry_parent_dirs(const char* path, const char* mode, FILE** out_file) { || if (out_file == 0) { || errno = EINVAL;"
30,stdlib_abi.c,abi_fs_write_bytes_hex,1955,1994,40,bytes|index|length|path|size,,,,,,,5,3,0,0,0,29,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"int64_t abi_fs_write_bytes_hex(const char* path, const char* hex) {","int64_t abi_fs_write_bytes_hex(const char* path, const char* hex) { || FILE* file = 0; || size_t length;"
30,stdlib_abi.c,abi_fs_file_type_text,2042,2050,9,path,,,,,,,4,3,0,0,0,2,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"static const char* abi_fs_file_type_text(const char* path, const struct stat* info) {","static const char* abi_fs_file_type_text(const char* path, const struct stat* info) { || (void)path; || if (S_ISDIR(info->st_mode)) return ""directory"";"
30,wire.c,kain_wire_record_fold_periodic,57,74,18,payload|word,,,,,,,11,0,0,0,0,12,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,static KainWireRecordFold kain_wire_record_fold_periodic(int64_t n) {,static KainWireRecordFold kain_wire_record_fold_periodic(int64_t n) { || const int64_t packet = n & 63LL; || const int64_t round = n >> 6;
25,actor.c,kain_actor_scheduler_turn_try_claim,396,421,26,,,,,Interlocked|__atomic_|atomic_,,,5,4,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,static int kain_actor_scheduler_turn_try_claim(KainActorState_Internal* actor) {,static int kain_actor_scheduler_turn_try_claim(KainActorState_Internal* actor) { || int expected = 0; || if (actor == NULL) {
25,actor.c,kain_actor_reply_port_state_acquire,542,556,15,,,EnterCriticalSection(|LeaveCriticalSection(|pthread_mutex_lock(|pthread_mutex_unlock(,,,,,7,6,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,static void kain_actor_reply_port_state_acquire(KainActorReplyPortState* state) {,static void kain_actor_reply_port_state_acquire(KainActorReplyPortState* state) { || if (state == NULL) { || return;
25,actor.c,kain_actor_reply_port_state_set_actor_ref,557,582,26,,,EnterCriticalSection(|LeaveCriticalSection(|pthread_mutex_lock(|pthread_mutex_unlock(,,,,,10,8,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,"static void kain_actor_reply_port_state_set_actor_ref( KainActorReplyPortState* state, const KainActorRef* actor_ref ) {","static void kain_actor_reply_port_state_set_actor_ref( || KainActorReplyPortState* state, || const KainActorRef* actor_ref"
25,actor.c,kain_actor_reply_port_state_copy_actor_ref,583,604,22,,,EnterCriticalSection(|LeaveCriticalSection(|pthread_mutex_lock(|pthread_mutex_unlock(,,,,,6,4,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,"static void kain_actor_reply_port_state_copy_actor_ref( KainActorReplyPortState* state, KainActorRef* out_actor_ref ) {","static void kain_actor_reply_port_state_copy_actor_ref( || KainActorReplyPortState* state, || KainActorRef* out_actor_ref"
25,actor.c,kain_actor_reply_port_state_take_actor_ref,605,628,24,,,EnterCriticalSection(|LeaveCriticalSection(|pthread_mutex_lock(|pthread_mutex_unlock(,,,,,8,6,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,"static void kain_actor_reply_port_state_take_actor_ref( KainActorReplyPortState* state, KainActorRef* out_actor_ref ) {","static void kain_actor_reply_port_state_take_actor_ref( || KainActorReplyPortState* state, || KainActorRef* out_actor_ref"
25,actor.c,kain_actor_close_mailbox,1746,1767,22,,,EnterCriticalSection(|LeaveCriticalSection(|pthread_mutex_lock(|pthread_mutex_unlock(,,,,,10,9,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,static void kain_actor_close_mailbox(KainActorState_Internal* actor) {,static void kain_actor_close_mailbox(KainActorState_Internal* actor) { || if (actor == NULL) { || return;
