status	source_file	line	include_path	new_target_path	classification
needs-review	lld/ELF/InputFiles.h	14	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/ELF/InputFiles.h	15	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/InputFiles.h	16	lld/Common/Reproduce.h		needs-review
needs-review	lld/ELF/InputSection.cpp	18	lld/Common/DWARF.h		needs-review
needs-review	lld/ELF/InputSection.h	14	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/ELF/InputSection.h	15	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/InputSection.h	16	lld/Common/Memory.h		needs-review
needs-review	lld/ELF/LTO.cpp	14	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/ELF/LTO.cpp	15	lld/Common/Filesystem.h		needs-review
needs-review	lld/ELF/LTO.cpp	16	lld/Common/Strings.h		needs-review
needs-review	lld/ELF/LTO.cpp	17	lld/Common/TargetOptionsCommandFlags.h		needs-review
needs-review	lld/ELF/LTO.cpp	22	llvm/DTLTO/DTLTO.h		needs-review
needs-review	lld/ELF/LTO.cpp	23	llvm/LTO/Config.h		needs-review
needs-review	lld/ELF/LTO.cpp	24	llvm/LTO/LTO.h		needs-review
needs-review	lld/ELF/LTO.h	23	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/LinkerScript.cpp	23	lld/Common/CommonLinkerContext.h		needs-review
needs-review	lld/ELF/LinkerScript.cpp	24	lld/Common/Strings.h		needs-review
needs-review	lld/ELF/LinkerScript.h	15	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/LinkerScript.h	16	lld/Common/Strings.h		needs-review
needs-review	lld/ELF/MarkLive.cpp	30	lld/Common/Strings.h		needs-review
needs-review	lld/ELF/OutputSections.cpp	16	lld/Common/Arrays.h		needs-review
needs-review	lld/ELF/OutputSections.cpp	17	lld/Common/Memory.h		needs-review
needs-review	lld/ELF/OutputSections.h	14	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/Relocations.cpp	39	lld/Common/ErrorHandler.h		needs-review
needs-review	lld/ELF/Relocations.cpp	40	lld/Common/Memory.h		needs-review
needs-review	lld/ELF/Relocations.h	12	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/ScriptLexer.h	12	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/ScriptParser.h	12	lld/Common/LLVM.h		needs-review
needs-review	lld/ELF/SymbolTable.cpp	20	lld/Common/Memory.h		needs-review
needs-review	lld/ELF/SymbolTable.cpp	21	lld/Common/Strings.h		needs-review
