current_path	target_path	size_bytes	area	action
clang/include/clang/AST/ASTDiagnostic.h	llvm-kain/clang/include/ast/ASTDiagnostic.h	1788	clang	move
clang/include/clang/AST/ASTDumper.h	llvm-kain/clang/include/ast/ASTDumper.h	1687	clang	move
clang/include/clang/AST/ASTDumperUtils.h	llvm-kain/clang/include/ast/ASTDumperUtils.h	3644	clang	move
clang/include/clang/AST/ASTFwd.h	llvm-kain/clang/include/ast/ASTFwd.h	1204	clang	move
clang/include/clang/AST/ASTImporter.h	llvm-kain/clang/include/ast/ASTImporter.h	23955	clang	move
clang/include/clang/AST/ASTImporterLookupTable.h	llvm-kain/clang/include/ast/ASTImporterLookupTable.h	3939	clang	move
clang/include/clang/AST/ASTImportError.h	llvm-kain/clang/include/ast/ASTImportError.h	1547	clang	move
clang/include/clang/AST/ASTImporterSharedState.h	llvm-kain/clang/include/ast/ASTImporterSharedState.h	2790	clang	move
clang/include/clang/AST/ASTLambda.h	llvm-kain/clang/include/ast/ASTLambda.h	3978	clang	move
clang/include/clang/AST/ASTMutationListener.h	llvm-kain/clang/include/ast/ASTMutationListener.h	8025	clang	move
clang/include/clang/AST/ASTNodeTraverser.h	llvm-kain/clang/include/ast/ASTNodeTraverser.h	32065	clang	move
clang/include/clang/AST/ASTStructuralEquivalence.h	llvm-kain/clang/include/ast/ASTStructuralEquivalence.h	7550	clang	move
clang/include/clang/AST/ASTTypeTraits.h	llvm-kain/clang/include/ast/ASTTypeTraits.h	21527	clang	move
clang/include/clang/AST/ASTUnresolvedSet.h	llvm-kain/clang/include/ast/ASTUnresolvedSet.h	3672	clang	move
clang/include/clang/AST/ASTVector.h	llvm-kain/clang/include/ast/ASTVector.h	12036	clang	move
clang/include/clang/AST/Attr.h	llvm-kain/clang/include/ast/Attr.h	15053	clang	move
clang/include/clang/AST/AttrIterator.h	llvm-kain/clang/include/ast/AttrIterator.h	4989	clang	move
clang/include/clang/AST/AttrVisitor.h	llvm-kain/clang/include/ast/AttrVisitor.h	2623	clang	move
clang/include/clang/AST/Availability.h	llvm-kain/clang/include/ast/Availability.h	4653	clang	move
clang/include/clang/AST/BaseSubobject.h	llvm-kain/clang/include/ast/BaseSubobject.h	2340	clang	move
clang/include/clang/AST/BuiltinTypes.def	llvm-kain/clang/include/ast/BuiltinTypes.def	10314	clang	move
clang/include/clang/AST/CanonicalType.h	llvm-kain/clang/include/ast/CanonicalType.h	25518	clang	move
clang/include/clang/AST/CharUnits.h	llvm-kain/clang/include/ast/CharUnits.h	8270	clang	move
clang/include/clang/AST/CMakeLists.txt	llvm-kain/clang/include/ast/CMakeLists.txt	2377	clang	move
clang/include/clang/AST/Comment.h	llvm-kain/clang/include/ast/Comment.h	33389	clang	move
clang/include/clang/AST/CommentBriefParser.h	llvm-kain/clang/include/ast/CommentBriefParser.h	1424	clang	move
clang/include/clang/AST/CommentCommands.td	llvm-kain/clang/include/ast/CommentCommands.td	14158	clang	move
clang/include/clang/AST/CommentCommandTraits.h	llvm-kain/clang/include/ast/CommentCommandTraits.h	6600	clang	move
clang/include/clang/AST/CommentDiagnostic.h	llvm-kain/clang/include/ast/CommentDiagnostic.h	509	clang	move
clang/include/clang/AST/CommentHTMLNamedCharacterReferences.td	llvm-kain/clang/include/ast/CommentHTMLNamedCharacterReferences.td	5101	clang	move
clang/include/clang/AST/CommentHTMLTags.td	llvm-kain/clang/include/ast/CommentHTMLTags.td	2382	clang	move
clang/include/clang/AST/CommentLexer.h	llvm-kain/clang/include/ast/CommentLexer.h	10562	clang	move
clang/include/clang/AST/CommentParser.h	llvm-kain/clang/include/ast/CommentParser.h	3570	clang	move
clang/include/clang/AST/CommentSema.h	llvm-kain/clang/include/ast/CommentSema.h	10017	clang	move
clang/include/clang/AST/CommentVisitor.h	llvm-kain/clang/include/ast/CommentVisitor.h	2538	clang	move
clang/include/clang/AST/ComparisonCategories.h	llvm-kain/clang/include/ast/ComparisonCategories.h	7571	clang	move
clang/include/clang/AST/ComputeDependence.h	llvm-kain/clang/include/ast/ComputeDependence.h	8553	clang	move
clang/include/clang/AST/CurrentSourceLocExprScope.h	llvm-kain/clang/include/ast/CurrentSourceLocExprScope.h	2508	clang	move
clang/include/clang/AST/CXXInheritance.h	llvm-kain/clang/include/ast/CXXInheritance.h	14934	clang	move
clang/include/clang/AST/CXXRecordDeclDefinitionBits.def	llvm-kain/clang/include/ast/CXXRecordDeclDefinitionBits.def	10624	clang	move
clang/include/clang/AST/DataCollection.h	llvm-kain/clang/include/ast/DataCollection.h	2513	clang	move
clang/include/clang/AST/Decl.h	llvm-kain/clang/include/ast/Decl.h	206378	clang	move
clang/include/clang/AST/DeclAccessPair.h	llvm-kain/clang/include/ast/DeclAccessPair.h	2742	clang	move
clang/include/clang/AST/DeclarationName.h	llvm-kain/clang/include/ast/DeclarationName.h	37411	clang	move
clang/include/clang/AST/DeclBase.h	llvm-kain/clang/include/ast/DeclBase.h	107623	clang	move
clang/include/clang/AST/DeclContextInternals.h	llvm-kain/clang/include/ast/DeclContextInternals.h	9649	clang	move
clang/include/clang/AST/DeclCXX.h	llvm-kain/clang/include/ast/DeclCXX.h	171971	clang	move
clang/include/clang/AST/DeclFriend.h	llvm-kain/clang/include/ast/DeclFriend.h	8586	clang	move
clang/include/clang/AST/DeclGroup.h	llvm-kain/clang/include/ast/DeclGroup.h	4094	clang	move
clang/include/clang/AST/DeclID.h	llvm-kain/clang/include/ast/DeclID.h	8316	clang	move
clang/include/clang/AST/DeclLookups.h	llvm-kain/clang/include/ast/DeclLookups.h	3730	clang	move
clang/include/clang/AST/DeclObjC.h	llvm-kain/clang/include/ast/DeclObjC.h	106121	clang	move
clang/include/clang/AST/DeclObjCCommon.h	llvm-kain/clang/include/ast/DeclObjCCommon.h	1748	clang	move
clang/include/clang/AST/DeclOpenACC.h	llvm-kain/clang/include/ast/DeclOpenACC.h	6345	clang	move
clang/include/clang/AST/DeclOpenMP.h	llvm-kain/clang/include/ast/DeclOpenMP.h	23309	clang	move
clang/include/clang/AST/DeclTemplate.h	llvm-kain/clang/include/ast/DeclTemplate.h	134709	clang	move
clang/include/clang/AST/DeclVisitor.h	llvm-kain/clang/include/ast/DeclVisitor.h	2604	clang	move
clang/include/clang/AST/DependenceFlags.h	llvm-kain/clang/include/ast/DependenceFlags.h	12878	clang	move
clang/include/clang/AST/DependentDiagnostic.h	llvm-kain/clang/include/ast/DependentDiagnostic.h	5546	clang	move
clang/include/clang/AST/DynamicRecursiveASTVisitor.h	llvm-kain/clang/include/ast/DynamicRecursiveASTVisitor.h	13303	clang	move
clang/include/clang/AST/EvaluatedExprVisitor.h	llvm-kain/clang/include/ast/EvaluatedExprVisitor.h	5037	clang	move
